incident_id,day_of_week,hour,is_month_end,system,incident_type,severity,team,after_change,affected_users,transactions_impacted,resolution_minutes,downtime_minutes,availability_pct,cpu_peak_pct,memory_peak_pct,monitoring_alerts,sla_breach
INC100000,Friday,0,no,Mobile App,Security Alert,Medium,Security,no,159,4730,434,249,82.01,90.4,74.6,8,no
INC100001,Wednesday,17,no,Trading Platform,Network Outage,Low,Network,no,7,245,548,274,81.26,83.4,57.8,2,no
INC100002,Saturday,14,no,Home Banking,Human Error,High,Application Support,no,68,1907,84,25,97.57,70.6,72.9,3,no
INC100003,Friday,13,no,Core Banking,Application Error,Medium,Application Support,yes,42,1266,130,55,96.17,96.7,81.2,4,no
INC100004,Monday,4,yes,ATM Network,Network Outage,Critical,Network,yes,86,1778,69,6,99.16,43.4,55.5,3,no
INC100005,Sunday,11,no,Payments Gateway,Application Error,High,Application Support,no,105,2232,257,92,93.92,39.5,32.6,3,yes
INC100006,Friday,9,no,Mobile App,Performance Degradation,High,DBA,no,77,2410,219,125,91.51,69.2,56.1,5,no
INC100007,Friday,2,yes,Payments Gateway,Batch Failure,High,Application Support,no,63,1593,126,70,95.48,67.0,51.3,4,no
INC100008,Monday,0,yes,ATM Network,Batch Failure,Medium,Application Support,no,150,3302,363,183,87.19,59.3,62.4,8,no
INC100009,Wednesday,8,no,Mobile App,Performance Degradation,Critical,DBA,no,123,2503,91,38,97.29,66.5,61.9,8,no
INC100010,Tuesday,0,yes,CRM,Batch Failure,Critical,Application Support,no,49,1243,101,96,92.81,62.9,73.5,3,no
INC100011,Sunday,0,no,ATM Network,Application Error,High,Application Support,no,72,2305,207,82,93.94,63.3,60.9,7,no
INC100012,Thursday,11,yes,Trading Platform,Human Error,High,Application Support,yes,292,8073,47,1,100.0,83.8,75.3,12,no
INC100013,Friday,2,no,Core Banking,Batch Failure,High,Application Support,no,85,2226,317,136,90.68,64.7,62.1,11,yes
INC100014,Wednesday,9,no,Core Banking,Performance Degradation,Low,Infrastructure,no,37,1191,350,200,86.15,50.8,45.0,2,no
INC100015,Monday,10,no,Home Banking,Performance Degradation,High,Infrastructure,yes,15,455,185,113,92.59,65.3,70.6,1,no
INC100016,Thursday,13,no,ATM Network,Application Error,Medium,Application Support,yes,16,474,170,100,92.6,100.0,83.5,1,no
INC100017,Monday,19,yes,Payments Gateway,Application Error,High,Application Support,no,46,1654,183,140,90.53,49.6,75.5,1,no
INC100018,Friday,2,no,Core Banking,Batch Failure,Critical,DBA,no,75,1821,383,192,86.25,70.5,72.6,5,yes
INC100019,Thursday,12,no,Mobile App,Security Alert,High,Security,no,50,1419,127,50,97.05,50.9,51.6,1,no
INC100020,Friday,17,no,Home Banking,Application Error,Medium,Application Support,no,105,2411,570,320,80.0,86.2,66.9,7,yes
INC100021,Tuesday,3,yes,Core Banking,Batch Failure,High,Application Support,no,43,1277,509,189,87.21,47.5,47.1,8,yes
INC100022,Sunday,3,yes,CRM,Batch Failure,Medium,DBA,no,16,406,621,345,80.0,62.3,56.8,3,yes
INC100023,Saturday,13,no,Payments Gateway,Human Error,Medium,Application Support,no,119,3188,189,98,93.96,54.4,53.4,1,no
