transaction_id,customer_age,transaction_amount,account_balance,avg_amount_3m,n_transactions_month,days_since_last_transaction,transaction_hour,transaction_type,channel,outlier_type
TX00001,56,62.52,2644.15,59.38,19,1,5,online transfer,web banking,none
TX00002,45,89.82,2117.34,69.44,26,7,6,bill payment,branch,none
TX00003,40,47.0,2357.53,48.69,17,6,23,bill payment,mobile app,none
TX00004,30,85.22,3316.84,78.83,40,2,6,ATM withdrawal,ATM,none
TX00005,39,109.11,5768.25,115.19,29,2,17,online transfer,mobile app,none
TX00006,62,40.51,1649.13,33.15,29,3,11,online transfer,mobile app,none
TX00007,37,62.86,1740.23,49.8,26,4,13,POS payment,POS terminal,none
TX00008,66,57.23,1256.22,40.06,12,5,19,bill payment,mobile app,none
TX00009,35,85.87,3746.41,81.36,23,5,7,bill payment,web banking,none
TX00010,26,96.09,2579.63,70.15,8,10,16,POS payment,POS terminal,none
TX00011,30,56.21,2045.03,58.39,17,5,20,ATM withdrawal,ATM,none
TX00012,45,55.81,2635.51,53.1,16,5,14,POS payment,POS terminal,none
TX00013,32,34.83,637.67,33.37,19,6,19,ATM withdrawal,ATM,none
TX00014,35,49.83,1650.93,37.32,30,4,7,POS payment,POS terminal,none
TX00015,47,80.93,2207.41,74.47,31,6,15,ATM withdrawal,ATM,none
TX00016,58,91.15,3302.85,108.7,4,15,11,POS payment,POS terminal,none
TX00017,35,67.42,2550.88,49.85,25,8,8,POS payment,POS terminal,none
TX00018,52,73.71,1431.67,75.35,30,3,19,online transfer,mobile app,none
TX00019,28,63.49,1681.97,61.45,23,6,8,POS payment,POS terminal,none
TX00020,33,70.6,3823.88,75.55,32,2,5,ATM withdrawal,ATM,none
TX00021,50,59.26,871.7,57.51,14,7,21,online transfer,web banking,none
TX00022,54,69.47,2529.24,66.48,24,3,23,ATM withdrawal,ATM,none
TX00023,74,61.49,1148.37,54.03,26,4,12,ATM withdrawal,ATM,none
TX00024,44,41.11,1087.69,38.77,29,3,14,POS payment,POS terminal,none
TX00025,36,49.31,1167.91,52.93,7,11,0,online transfer,web banking,none
TX00026,30,49.56,1102.64,54.21,17,2,2,ATM withdrawal,ATM,none
TX00027,44,119.5,3149.3,68.94,18,6,16,online transfer,mobile app,none
TX00028,50,68.6,2614.57,80.21,18,5,15,online transfer,mobile app,none
TX00029,70,33.7,1040.63,38.71,13,9,16,POS payment,POS terminal,none
TX00030,32,85.43,2528.53,54.01,21,3,11,ATM withdrawal,ATM,none
TX00031,35,65.5,3480.01,60.58,17,5,2,bill payment,mobile app,none
TX00032,57,42.11,2013.92,59.32,25,4,15,online transfer,mobile app,none
TX00033,65,62.39,4573.51,76.61,16,5,10,online transfer,web banking,none
TX00034,45,68.09,2579.17,50.68,33,4,13,POS payment,POS terminal,none
TX00035,49,69.43,1961.13,57.63,18,5,9,ATM withdrawal,ATM,none
TX00036,20,81.62,1644.24,91.97,9,4,9,POS payment,POS terminal,none
TX00037,53,63.87,3748.29,56.98,25,8,8,POS payment,POS terminal,none
TX00038,45,76.84,3324.84,56.14,21,2,7,online transfer,mobile app,none
TX00039,41,91.32,2436.45,84.12,20,6,9,POS payment,POS terminal,none
TX00040,37,84.18,2773.34,67.7,33,5,1,online transfer,mobile app,none
TX00041,31,42.54,1715.96,35.58,1,11,3,POS payment,POS terminal,none
TX00042,49,57.7,1444.03,59.9,20,5,9,ATM withdrawal,ATM,none
TX00043,26,85.23,2320.55,63.13,19,6,14,online transfer,mobile app,none
TX00044,37,77.9,1606.81,48.52,22,6,5,POS payment,POS terminal,none
TX00045,55,79.59,1336.95,78.39,10,7,20,ATM withdrawal,ATM,none
TX00046,52,90.06,5335.28,77.69,32,5,3,POS payment,POS terminal,none
TX00047,42,63.05,2130.69,52.44,24,3,13,online transfer,web banking,none
TX00048,62,34.55,601.26,37.34,21,4,12,POS payment,POS terminal,none
TX00049,44,104.55,2083.5,85.6,18,3,8,online transfer,web banking,none
TX00050,59,68.4,1821.19,91.17,22,3,15,bill payment,web banking,none
TX00051,49,137.62,4119.42,90.71,31,2,18,online transfer,mobile app,none
TX00052,53,60.73,1267.29,64.33,1,9,19,online transfer,mobile app,none
TX00053,43,41.71,877.44,47.1,11,7,13,POS payment,POS terminal,none
TX00054,46,98.11,3088.64,101.22,14,9,16,online transfer,mobile app,none
TX00055,41,80.56,2575.18,55.92,18,9,19,POS payment,POS terminal,none
TX00056,55,65.66,2680.33,57.95,24,3,18,bill payment,web banking,none
TX00057,35,36.27,1320.74,48.17,23,5,8,online transfer,mobile app,none
TX00058,57,95.09,3184.07,81.21,39,4,15,POS payment,POS terminal,none
TX00059,54,33.58,651.33,45.18,26,2,11,bill payment,mobile app,none
TX00060,27,104.99,1888.7,99.28,35,4,6,POS payment,POS terminal,none
TX00061,36,50.23,936.55,64.57,19,11,14,POS payment,POS terminal,none
TX00062,50,136.86,5770.43,89.21,21,4,13,ATM withdrawal,ATM,none
TX00063,59,46.0,752.51,41.97,20,2,1,POS payment,POS terminal,none
TX00064,23,62.86,1161.93,47.96,16,6,12,POS payment,POS terminal,none
TX00065,55,68.44,1455.28,82.0,33,6,13,online transfer,web banking,none
TX00066,52,37.62,1480.6,42.14,16,4,10,bill payment,branch,none
TX00067,25,67.17,3197.41,56.12,22,3,13,online transfer,mobile app,none
TX00068,56,68.31,967.98,87.19,13,11,5,ATM withdrawal,ATM,none
TX00069,41,42.62,1068.98,44.41,19,4,14,online transfer,web banking,none
TX00070,58,28.15,1041.93,32.67,14,5,18,ATM withdrawal,ATM,none
TX00071,56,121.06,3520.31,106.39,50,1,2,online transfer,web banking,none
TX00072,36,111.52,3989.33,36.99,23,5,0,POS payment,POS terminal,none
TX00073,31,36.18,1023.83,40.51,27,4,5,POS payment,POS terminal,none
TX00074,65,62.3,2483.64,66.35,14,6,10,POS payment,POS terminal,none
TX00075,34,56.9,1303.0,56.36,18,10,13,online transfer,web banking,none
TX00076,82,51.37,1023.34,53.67,17,6,13,POS payment,POS terminal,none
TX00077,52,86.54,2466.17,95.69,18,5,16,online transfer,mobile app,none
TX00078,49,62.2,1709.3,56.0,19,4,11,online transfer,web banking,none
TX00079,30,54.77,1189.7,46.05,23,2,15,ATM withdrawal,ATM,none
TX00080,68,71.84,1895.25,64.64,13,5,6,online transfer,web banking,none
TX00081,56,64.62,2409.95,56.29,20,2,14,ATM withdrawal,ATM,none
TX00082,62,82.17,2541.49,56.08,27,5,13,online transfer,web banking,none
TX00083,61,73.53,2864.6,64.51,30,3,19,online transfer,mobile app,none
TX00084,45,64.26,1891.02,39.78,18,6,13,POS payment,POS terminal,none
TX00085,45,49.49,1259.07,71.81,22,8,6,POS payment,POS terminal,none
TX00086,42,54.93,1281.95,34.88,19,4,22,online transfer,web banking,none
TX00087,18,29.81,1239.71,24.14,26,4,17,ATM withdrawal,ATM,none
TX00088,43,82.0,1265.05,39.84,27,3,5,ATM withdrawal,ATM,none
TX00089,35,71.12,3964.36,59.57,17,3,23,POS payment,POS terminal,none
TX00090,67,128.49,4636.41,131.39,32,2,19,POS payment,POS terminal,none
TX00091,33,38.77,751.75,40.41,12,7,3,POS payment,POS terminal,none
TX00092,44,94.5,3487.6,86.34,23,2,13,online transfer,web banking,none
TX00093,42,53.31,1316.71,41.95,12,6,16,online transfer,mobile app,none
TX00094,49,60.83,2265.86,63.93,29,1,17,online transfer,mobile app,none
TX00095,42,46.3,1589.71,50.42,17,6,11,POS payment,POS terminal,none
TX00096,43,52.08,1357.57,40.85,25,6,11,POS payment,POS terminal,none
TX00097,44,89.86,2261.76,64.2,18,7,14,POS payment,POS terminal,none
TX00098,27,62.6,1350.81,42.85,24,4,8,POS payment,POS terminal,none
TX00099,54,63.22,3356.79,48.03,23,5,17,POS payment,POS terminal,none
TX00100,34,56.09,1966.11,66.27,15,5,17,bill payment,mobile app,none
TX00101,49,67.0,3359.7,90.77,19,11,15,ATM withdrawal,ATM,none
TX00102,40,53.54,1583.01,51.85,19,4,20,ATM withdrawal,ATM,none
TX00103,47,61.22,1566.39,39.04,27,2,12,POS payment,POS terminal,none
TX00104,35,43.97,1366.54,44.22,36,2,15,bill payment,branch,none
TX00105,59,75.3,1574.3,63.73,27,3,14,online transfer,mobile app,none
TX00106,50,70.42,1334.96,51.9,35,5,16,online transfer,mobile app,none
TX00107,64,30.31,816.31,33.56,8,7,2,bill payment,branch,none
TX00108,37,72.96,5002.97,45.65,20,5,13,POS payment,POS terminal,none
TX00109,63,38.02,1391.24,41.58,15,7,17,online transfer,web banking,none
TX00110,18,110.93,841.37,69.34,11,4,20,bill payment,branch,bivariate
